date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:56	292385/292385	---M--	200	added ('OK')	image/png	etag:%2237fa02572db69c7f9064ac1e4e1eda92%22	https://untalexito.com/images/IMG_9247-removebg-preview.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/IMG_9247-removebg-preview.png	(from https://untalexito.com/)
18:23:57	180555/180555	---M--	200	added ('OK')	image/png	etag:%224a6a746d4e6859a77a2667761cff4ca0%22	https://untalexito.com/images/IMG_9302-removebg-preview.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/IMG_9302-removebg-preview.png	(from https://untalexito.com/)
18:23:59	205337/205337	---M--	200	added ('OK')	image/png	etag:%228c6f8cf76d7970f9968d3bf019d9ba7d%22	https://untalexito.com/images/IMG_9294-removebg-preview.png	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/IMG_9294-removebg-preview.png	(from https://untalexito.com/)
18:24:00	9197/9197	---MCZ	200	added ('OK')	text/html	etag:W/%22c5ec749ee2c19d20442081fbd647ddff%22	https://untalexito.com/privacidad.html	C:/Mis%20lugares%20Web/UNT/untalexito.com/privacidad.html	(from https://untalexito.com/)
18:24:00	140562/140562	---M-Z	200	added ('OK')	application/javascript	etag:W/%2222512-6lnzeyMttt7iaUB4vyHhU6CbrN0%22	https://cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	C:/Mis%20lugares%20Web/UNT/cdn.jsdelivr.net/npm/swiper@9/swiper-bundle.min.js	(from https://untalexito.com/)
18:24:00	997/997	---M--	200	added ('OK')	application/javascript	etag:%22181397e01a0da9db53f6104157d0756d%22	https://untalexito.com/script.js	C:/Mis%20lugares%20Web/UNT/untalexito.com/script.js	(from https://untalexito.com/)
18:24:01	1627564/1627564	---M--	200	added ('OK')	image/jpeg	etag:%22de55a80b72a4ac8156d18111bbd363fc%22	https://untalexito.com/images/IMG_9445.jpg	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/IMG_9445.jpg	(from https://untalexito.com/)
18:24:01	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%227847001b363433020c09886389e1b001%22	https://connect.facebook.net/en_US/sdk.js	C:/Mis%20lugares%20Web/UNT/connect.facebook.net/en_US/sdk.js	(from https://untalexito.com/)
18:24:02	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Feb%202025%2000:24:03%20GMT	https://untalexito.com/home.html	C:/Mis%20lugares%20Web/UNT/untalexito.com/home.1e.delayed	(from https://untalexito.com/about.html)
18:24:03	180752/180752	---M--	200	added ('OK')	image/jpeg	etag:%2296e4808def93e29eb7f578c7fd4a050f%22	https://untalexito.com/images/62ef4e09-8c08-42e4-b750-22034d26b22e.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/62ef4e09-8c08-42e4-b750-22034d26b22e.JPG	(from https://untalexito.com/about.html)
18:24:05	159277/159277	---M--	200	added ('OK')	image/jpeg	etag:%22ccd12b389ce3298f121df94d0eb2b003%22	https://untalexito.com/images/3e7e0d4a-529e-4850-97df-e45381341fa0.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/3e7e0d4a-529e-4850-97df-e45381341fa0.JPG	(from https://untalexito.com/about.html)
18:24:05	237054/237054	---M--	200	added ('OK')	image/jpeg	etag:%221bdc131597c70794cf92191bb3bd9104%22	https://untalexito.com/images/9d763e83-90f8-46f4-a18f-c6dfe67c46fd.JPG	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/9d763e83-90f8-46f4-a18f-c6dfe67c46fd.JPG	(from https://untalexito.com/about.html)
18:24:06	82463/82463	---M--	200	added ('OK')	image/jpeg	etag:%22175f81b963e8b7a1e720bd6c01be55f4%22	https://untalexito.com/images/f37060f8-c798-47cd-8de0-42ffd5ac6335.jpg	C:/Mis%20lugares%20Web/UNT/untalexito.com/images/f37060f8-c798-47cd-8de0-42ffd5ac6335.jpg	(from https://untalexito.com/about.html)
